date,song,singer,streams,url_list,Company,Duration,gender,lang
2020-12-25--2021-01-01,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,"129,313",https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i,Team Ear Music,320,Eng,Can
2020-12-25--2021-01-01,是但求其愛,Eason Chan,"115,204",https://open.spotify.com/track/4IkQXb1IdIziAJmO3FODo7,Eas Music Ltd,269,Eng,Can
2020-12-25--2021-01-01,一人之境 in C major,Terence Lam,"112,750",https://open.spotify.com/track/32QnXosZq7A11knnBAEqk7,Terence Lam Production & Co.,195,Eng,Can
2020-12-25--2021-01-01,時光倒流一句話,Terence Lam,"104,521",https://open.spotify.com/track/63QmxPL3QlchvXcHLsI6UM,Terence Lam Production & Co.,253,Eng,Can
2020-12-25--2021-01-01,隔離 - Studio Live Duet,"Jace Chan, Terence Lam","104,129",https://open.spotify.com/track/4xL01OuFjqizPDclF8gDpl,Universal Music Ltd.,248,G,Can
2020-12-25--2021-01-01,銀河修理員,Dear Jane,"96,079",https://open.spotify.com/track/0pupuSkMBGpzsqG3fWcyPe,Warner Music Hong Kong Ltd.,232,F,Can
2020-12-25--2021-01-01,Afterglow,Ed Sheeran,"91,241",https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,"ylum Records UK release, a division of Atlantic Records UK, © 2020 Warner Music UK Limited",185,Eng,Eng
2020-12-25--2021-01-01,All I Want for Christmas Is You,Mariah Carey,"89,198",https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sony Music Entertainment,241,F,Eng
2020-12-25--2021-01-01,Last Christmas,Wham!,"86,615",https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Sony Music Entertainment (UK) Ltd.,262,G,Eng
2020-12-25--2021-01-01,Santa Tell Me,Ariana Grande,"84,550",https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,"Republic Records, a division of UMG Recordings, Inc.",204,F,Eng
2020-12-25--2021-01-01,未開始已經結束,Dear Jane,"83,958",https://open.spotify.com/track/3pciLZ7pj3WiwP8AmKdze8,Warner Music Hong Kong Ltd.,307,F,Can
2020-12-25--2021-01-01,Dynamite,BTS,"77,402",https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,BIGHIT MUSIC / HYBE,199,G,Other
2020-12-25--2021-01-01,下一位前度,Terence Lam,"77,399",https://open.spotify.com/track/0Q3jOuEpx8Esi2qZMQSghl,Terence Lam Production & Co.,275,Eng,Can
2020-12-25--2021-01-01,positions,Ariana Grande,"73,785",https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,"Republic Records, a division of UMG Recordings, Inc.",172,F,Eng
2020-12-25--2021-01-01,炎,LiSA,"73,121",https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn,Sony Music Labels Inc.,275,F,Other
